label,method,origin_count,origin_stability,origin_radii,baseline_nests,edge
negative_027_hopf_0.1,binary128_matching,3,SUS,"[1954.1025431622768, 3535605157.0003557, 5763028066.330219]","[{""pt"": [-84294838213.1766, 84294838214.1766], ""tr"": -212949429881.95465, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}, {""pt"": [0.0, -0.0], ""tr"": 6.024843948912936, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -2.3074521624860023e-06, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
negative_028_fold,binary128_matching,0,,[],"[{""pt"": [-842919800303.0227, 842919800304.0226], ""tr"": -2130100233571.191, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -7.29750337908484e-07, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
negative_028_pair,binary128_matching,2,US,"[32962648629.714985, 49186958105.903305]","[{""pt"": [-842920017021.3602, 842920017022.36], ""tr"": -2130095639142.4385, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -7.297498078526287e-07, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
negative_028_hopf_1,binary128_matching,3,SUS,"[11878960.74182368, 19831149818.13173, 64195207478.27676]","[{""pt"": [-842920017039.6993, 842920017040.6993], ""tr"": -2130095638971.2144, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}, {""pt"": [0.0, -0.0], ""tr"": 217.56768232521634, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -7.297498081108878e-07, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
negative_028_hopf_0.1,binary128_matching,3,SUS,"[33784.10886837275, 30754759691.07367, 51584695056.10925]","[{""pt"": [-842920017023.1941, 842920017024.1941], ""tr"": -2130095639125.3157, ""roots"": [], ""stab"": [], ""k"": 1, ""redge"": 0.001015747708586686}, {""pt"": [0.0, -0.0], ""tr"": 21.756768232521637, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -7.297498078543954e-07, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
positive_infinity_023_hopf_1,binary128_matching,2,US,"[0.19716986724838265, 44.68682888977347]","[{""pt"": [-2.234689602314118, 4.044609762106303], ""tr"": 7.5393382484311, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.020441724384275526}, {""pt"": [0.0, -0.0], ""tr"": -0.0022130730880356576, ""roots"": [0.3560246606707792, 87.11636215324636], ""stab"": [""U"", ""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""angular_chart_failure"", ""u_valid"": 37.5, ""F"": -0.0008558117388038733, ""status"": 3, ""u_failed"": 38.5, ""sign"": -1, ""r_valid"": 1.9321599304402836e+16}"
positive_infinity_023_hopf_0.1,binary128_matching,2,US,"[0.05287739846436948, 330.02977968070854]","[{""pt"": [-2.2349472907992145, 4.044698449776076], ""tr"": 7.540618892658093, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.020441724384275526}, {""pt"": [0.0, -0.0], ""tr"": -0.00022130730880356577, ""roots"": [0.10200277308269971, 643.7076870850963], ""stab"": [""U"", ""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""angular_chart_failure"", ""u_valid"": 37.5, ""F"": -8.558028104693147e-05, ""status"": 3, ""u_failed"": 38.5, ""sign"": -1, ""r_valid"": 1.9321599304402836e+16}"
positive_infinity_024_fold,binary128_matching,0,,[],"[{""pt"": [-2.23483274164372, 4.044659017118788], ""tr"": 7.547600822568018, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.020262848020305337}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [4454785377.297331], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""angular_chart_failure"", ""u_valid"": 37.5, ""F"": 2.0705596290181542e-22, ""status"": 3, ""u_failed"": 38.5, ""sign"": 1, ""r_valid"": 1.9321599304402836e+16}"
positive_infinity_024_pair,binary128_matching,2,SU,"[1.953004290539034e+17, 2.930690290808668e+17]","[{""pt"": [-2.23483274164372, 4.044659017118788], ""tr"": 7.547600822568018, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.020262848020305337}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [4454785377.297331], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 43.0, ""F"": 4.444733915023553e-24, ""sign"": 1, ""r_valid"": 4.727839468229346e+18}"
positive_infinity_024_hopf_1,binary128_matching,2,US,"[0.19685046530773784, 44.838117928191934]","[{""pt"": [-2.234546517634501, 4.044560547657515], ""tr"": 7.546178067764712, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.020262848020305337}, {""pt"": [0.0, -0.0], ""tr"": -0.002212630519182317, ""roots"": [0.3560246606707792, 87.11636215324636], ""stab"": [""U"", ""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""angular_chart_failure"", ""u_valid"": 37.5, ""F"": -0.0008560703042799643, ""status"": 3, ""u_failed"": 38.5, ""sign"": -1, ""r_valid"": 1.9321599304402836e+16}"
positive_infinity_024_polished_fold,double_full_return,0,,[],"[{""pt"": [-2.23483274164372, 4.044659017118788], ""tr"": 7.547600822568018, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.020262848020305337}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [4454785377.297331], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]",null
positive_infinity_024_polished_pair,binary128_matching,2,SU,"[1.9549888181189264e+17, 2.926600483949948e+17]","[{""pt"": [-2.23483274164372, 4.044659017118788], ""tr"": 7.547600822568018, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.020262848020305337}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [4454785377.297331], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 43.0, ""F"": 4.446497252376838e-24, ""sign"": 1, ""r_valid"": 4.727839468229346e+18}"
positive_infinity_024_polished_hopf_preserved,binary128_matching,3,USU,"[6.523279526625704e-13, 1.938430479434834e+17, 2.960982658715127e+17]","[{""pt"": [-2.23483274164372, 4.044659017118788], ""tr"": 7.547600822568018, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.020262848020305337}, {""pt"": [0.0, -0.0], ""tr"": -3.843785213323445e-26, ""roots"": [4454785377.297331], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 43.0, ""F"": 4.4316255524136375e-24, ""sign"": 1, ""r_valid"": 4.727839468229346e+18}"
positive_infinity_025_polished_fold,double_full_return,0,,[],"[{""pt"": [-2.2347721868395904, 4.044638177228885], ""tr"": 7.550498198756409, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.020203571081597198}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [4454785377.297331], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]",null
positive_infinity_025_polished_pair,binary128_matching,2,SU,"[1.4405232448189878e+18, 2.1710088316969667e+18]","[{""pt"": [-2.2347721868395904, 4.044638177228885], ""tr"": 7.550498198756409, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.020203571081597198}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [4454785377.297331], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 45.0, ""F"": 3.8188045339524765e-25, ""sign"": 1, ""r_valid"": 3.4934271057485095e+19}"
positive_infinity_025_polished_hopf_preserved,binary128_matching,3,USU,"[1.9447535818057562e-13, 1.428141001436565e+18, 2.1970719732888742e+18]","[{""pt"": [-2.2347721868395904, 4.044638177228885], ""tr"": 7.550498198756409, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.020203571081597198}, {""pt"": [0.0, -0.0], ""tr"": -3.416302308326756e-27, ""roots"": [4454785377.297331], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 45.0, ""F"": 3.805582758142961e-25, ""sign"": 1, ""r_valid"": 3.4934271057485095e+19}"
positive_infinity_018_hopf_preserved,binary128_matching,3,USU,"[2.083568215438846e-06, 7316186.67327956, 11172923.325551301]","[{""pt"": [-2.237023079024062, 4.045415433990422], ""tr"": 7.444621415231883, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.022916013313138143}, {""pt"": [0.0, -0.0], ""tr"": -3.563520345169391e-13, ""roots"": [14178605.351434018, 23376568.23177193], ""stab"": [""S"", ""U""], ""k"": 110, ""redge"": 740119965.0959961}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": 4.909321928526056e-11, ""sign"": 1, ""r_valid"": 2.3538526683701997e+17}"
positive_infinity_019_hopf_preserved,binary128_matching,3,USU,"[1.6491151669847833e-07, 399491264.7313281, 610119269.6215346]","[{""pt"": [-2.2362259114973, 4.045139549934802], ""tr"": 7.481699929366794, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.021930768935644912}, {""pt"": [0.0, -0.0], ""tr"": -2.2323678901476827e-15, ""roots"": [365671051.5652159], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": 3.0373341227629143e-13, ""sign"": 1, ""r_valid"": 2.3538526683701997e+17}"
positive_infinity_020_hopf_preserved,binary128_matching,3,USU,"[1.3442284263387362e-08, 21812868570.70254, 33314737042.04359]","[{""pt"": [-2.2357340368506144, 4.044969657282818], ""tr"": 7.504803673514586, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.021339223859671762}, {""pt"": [0.0, -0.0], ""tr"": -1.4832349336726276e-17, ""roots"": [1638823955.138855], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": 2.0025433237700524e-15, ""sign"": 1, ""r_valid"": 2.3538526683701997e+17}"
positive_infinity_021_hopf_preserved,binary128_matching,3,USU,"[1.116664859474457e-09, 1190994244894.0652, 1819048396894.0322]","[{""pt"": [-2.235400180907312, 4.044854490089599], ""tr"": 7.52058574557469, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.020946931911392207}, {""pt"": [0.0, -0.0], ""tr"": -1.0235510170637541e-19, ""roots"": [2701963913.770343], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": 1.3746496959922586e-17, ""sign"": 1, ""r_valid"": 2.3538526683701997e+17}"
positive_infinity_022_hopf_preserved,binary128_matching,3,USU,"[9.399773219360299e-11, 65027098263755.38, 99317292945546.45]","[{""pt"": [-2.2351587078292456, 4.044771265034522], ""tr"": 7.532052291238013, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.020662496887253655}, {""pt"": [0.0, -0.0], ""tr"": -7.252680515205544e-22, ""roots"": [3469390340.254205], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""angular_chart_failure"", ""u_valid"": 37.5, ""F"": 9.591319684652764e-20, ""status"": 3, ""u_failed"": 38.5, ""sign"": 1, ""r_valid"": 1.9321599304402836e+16}"
positive_infinity_023_hopf_preserved,binary128_matching,3,USU,"[7.98991098119834e-12, 3550359267224428.5, 5423228913283031.0]","[{""pt"": [-2.2349759218886858, 4.04470830798304], ""tr"": 7.5407612073419426, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.020441724384275526}, {""pt"": [0.0, -0.0], ""tr"": -5.240197753710807e-24, ""roots"": [3469390340.254205], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""angular_chart_failure"", ""u_valid"": 37.5, ""F"": 3.604101199024208e-22, ""status"": 3, ""u_failed"": 38.5, ""sign"": 1, ""r_valid"": 1.9321599304402836e+16}"
