label,method,origin_count,origin_stability,origin_radii,baseline_nests,edge
positive_infinity_021_hopf_1,binary128_matching,2,US,"[0.19811833756878047, 44.2282560102655]","[{""pt"": [-2.235113579343129, 4.044755718110504], ""tr"": 7.51916218285577, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.020946931911392207}, {""pt"": [0.0, -0.0], ""tr"": -0.002214379078273612, ""roots"": [0.3560246606707792, 87.11636215324636], ""stab"": [""U"", ""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -0.0008550469670280139, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
positive_infinity_021_hopf_0.1,binary128_matching,2,US,"[0.05309853169520481, 323.9972460365911]","[{""pt"": [-2.235371521623984, 4.0448446092708705], ""tr"": 7.5204433704992075, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.020946931911392207}, {""pt"": [0.0, -0.0], ""tr"": -0.0002214379078273612, ""roots"": [0.10200277308269971, 643.7076870850963], ""stab"": [""U"", ""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -8.550380839853512e-05, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
positive_infinity_022_fold,binary128_matching,0,,[],"[{""pt"": [-2.2351587078292456, 4.044771265034522], ""tr"": 7.532052291238013, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.020662496887253655}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [3469390340.254205], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": 1.0003711365298788e-19, ""sign"": 1, ""r_valid"": 2.3538526683701997e+17}"
negative_022_pair,binary128_matching,2,US,"[93440.67290999313, 139403.1923705566]","[{""pt"": [-843340.6891164196, 843341.6891176053], ""tr"": -2121172.6755225463, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -0.0007287230801968057, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
positive_infinity_022_pair,binary128_matching,2,SU,"[65577283854807.36, 98170739703249.11]","[{""pt"": [-2.2351587078292456, 4.044771265034522], ""tr"": 7.532052291238013, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.020662496887253655}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [3469390340.254205], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": 9.723427504020041e-20, ""sign"": 1, ""r_valid"": 2.3538526683701997e+17}"
negative_022_hopf_1,binary128_matching,3,SUS,"[32.77524859447329, 64665.61491168232, 172187.4487092018]","[{""pt"": [-843340.7425650887, 843341.7425662744], ""tr"": -2121172.1761845755, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}, {""pt"": [0.0, -0.0], ""tr"": 0.633772308050974, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -0.0007287230574450186, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
negative_022_hopf_0.1,binary128_matching,3,SUS,"[1.9106942535451559, 88976.68677150758, 144270.69809339245]","[{""pt"": [-843340.6944612867, 843341.6944624723], ""tr"": -2121172.6255887495, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}, {""pt"": [0.0, -0.0], ""tr"": 0.0633772308050974, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -0.0007287230777182083, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
positive_infinity_022_hopf_1,binary128_matching,2,US,"[0.19757795067026934, 44.49122152605903]","[{""pt"": [-2.2348722665480074, 4.044672621685486], ""tr"": 7.530629072005049, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.020662496887253655}, {""pt"": [0.0, -0.0], ""tr"": -0.0022136367383242413, ""roots"": [0.3560246606707792, 87.11636215324636], ""stab"": [""U"", ""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -0.0008554819957890709, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
negative_023_fold,binary128_matching,2,US,"[902907.7256499646, 902908.1734116274]","[{""pt"": [-8431929.870122796, 8431930.870122915], ""tr"": -21243082.034034267, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -0.00023055629939991632, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
negative_023_pair,binary128_matching,2,US,"[735983.2047555818, 1098060.5334162624]","[{""pt"": [-8431939.567792475, 8431940.567792594], ""tr"": -21242876.443464316, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -0.0002305555512520664, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
