label,c,K,beta,alpha,selected_method,count,stability,outside_sign,edge_sign,edge_kind,edge_radius,sign_comparison,uncertain_sign_changes,baseline_origin_count,rational_vector
positive_infinity_006_hopf_1,1040560591972512224784129200782062933377/1000000000000000000000000000000000000000,1/2,-21701781228551279/250000000000000000000,-212500000000000000000000000000000000000000/6446166511697634472625421208602692267147,double_full_return,3,USU,1,1,integration_failure,26422.796541154872,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-212500000000000000000000000000000000000000/6446166511697634472625421208602692267147"", ""-21701781228551279/250000000000000000000"", ""-10"", ""11/5"", ""1040560591972512224784129200782062933377/1000000000000000000000000000000000000000""]"
positive_infinity_006_hopf_0.1,1040560591972512224784129200782062933377/1000000000000000000000000000000000000000,1/2,-86807124914205123/10000000000000000000000,-212500000000000000000000000000000000000000/6446166511697634472625421208602692267147,double_full_return,3,USU,1,1,integration_failure,26385.40792607533,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-212500000000000000000000000000000000000000/6446166511697634472625421208602692267147"", ""-86807124914205123/10000000000000000000000"", ""-10"", ""11/5"", ""1040560591972512224784129200782062933377/1000000000000000000000000000000000000000""]"
negative_005_fold,232221667475041280415936633084339599/250000000000000000000000000000000000,-29999999999999999999999999999999999/100000000000000000000000000000000000,0,-104250000000000000000000000000000000025/2608876684450908169150605927855471178,double_full_return,0,,,-1,scan_cap,2.353852668369765e+17,unresolved,0,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-104250000000000000000000000000000000025/2608876684450908169150605927855471178"", ""0"", ""-10"", ""11/5"", ""232221667475041280415936633084339599/250000000000000000000000000000000000""]"
negative_005_pair,9284760062736987905235986559343141321769/10000000000000000000000000000000000000000,-29999999999999999999999999999999999/100000000000000000000000000000000000,0,-2085000000000000000000000000000000000500000/52132360690106866957595852152774554539459,double_full_return,2,US,-1,-1,scan_cap,2.353852668369765e+17,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-2085000000000000000000000000000000000500000/52132360690106866957595852152774554539459"", ""0"", ""-10"", ""11/5"", ""9284760062736987905235986559343141321769/10000000000000000000000000000000000000000""]"
positive_infinity_007_fold,111276797596105796689031690889301769/100000000000000000000000000000000000,1,0,-21500000000000000000000000000000000000/724044773557163763579348599782319459,double_full_return,0,,,1,integration_failure,1876.306595922096,unresolved,3,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-21500000000000000000000000000000000000/724044773557163763579348599782319459"", ""0"", ""-10"", ""11/5"", ""111276797596105796689031690889301769/100000000000000000000000000000000000""]"
negative_005_hopf_1,9284760062736987905235986559343141321769/10000000000000000000000000000000000000000,-29999999999999999999999999999999999/100000000000000000000000000000000000,8350924173373553/200000000000000000000,-2085000000000000000000000000000000000500000/52132360690106866957595852152774554539459,double_full_return,3,SUS,-1,-1,scan_cap,2.353852668369765e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-2085000000000000000000000000000000000500000/52132360690106866957595852152774554539459"", ""8350924173373553/200000000000000000000"", ""-10"", ""11/5"", ""9284760062736987905235986559343141321769/10000000000000000000000000000000000000000""]"
positive_infinity_007_pair,2784874237200775949383427378285098337/2500000000000000000000000000000000000,1,0,-537500000000000000000000000000000000000/18133616609208535443217701161136081707,double_full_return,2,SU,1,1,integration_failure,1839.9256988905126,agree,1,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-537500000000000000000000000000000000000/18133616609208535443217701161136081707"", ""0"", ""-10"", ""11/5"", ""2784874237200775949383427378285098337/2500000000000000000000000000000000000""]"
positive_infinity_007_hopf_1,2784874237200775949383427378285098337/2500000000000000000000000000000000000,1,-20448730742621417/100000000000000000000,-537500000000000000000000000000000000000/18133616609208535443217701161136081707,double_full_return,3,USU,1,1,integration_failure,1847.7584145986323,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-537500000000000000000000000000000000000/18133616609208535443217701161136081707"", ""-20448730742621417/100000000000000000000"", ""-10"", ""11/5"", ""2784874237200775949383427378285098337/2500000000000000000000000000000000000""]"
positive_infinity_007_hopf_0.1,2784874237200775949383427378285098337/2500000000000000000000000000000000000,1,-1022436537131071/50000000000000000000,-537500000000000000000000000000000000000/18133616609208535443217701161136081707,double_full_return,3,USU,1,1,integration_failure,1840.7344376770375,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-537500000000000000000000000000000000000/18133616609208535443217701161136081707"", ""-1022436537131071/50000000000000000000"", ""-10"", ""11/5"", ""2784874237200775949383427378285098337/2500000000000000000000000000000000000""]"
negative_005_hopf_0.1,9284760062736987905235986559343141321769/10000000000000000000000000000000000000000,-29999999999999999999999999999999999/100000000000000000000000000000000000,5219327608358471/1250000000000000000000,-2085000000000000000000000000000000000500000/52132360690106866957595852152774554539459,double_full_return,3,SUS,-1,-1,scan_cap,2.353852668369765e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-2085000000000000000000000000000000000500000/52132360690106866957595852152774554539459"", ""5219327608358471/1250000000000000000000"", ""-10"", ""11/5"", ""9284760062736987905235986559343141321769/10000000000000000000000000000000000000000""]"
