label,c,K,beta,alpha,selected_method,count,stability,outside_sign,edge_sign,edge_kind,edge_radius,sign_comparison,uncertain_sign_changes,baseline_origin_count,rational_vector
positive_infinity_012_hopf_0.1,1484879391383461334190428494203919108187/1000000000000000000000000000000000000000,5,-22768719609693469/100000000000000000000,-235000000000000000000000000000000000000000/11333673305218074676094713436243110190057,double_full_return,3,USU,1,1,integration_failure,2216.8288502074183,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-235000000000000000000000000000000000000000/11333673305218074676094713436243110190057"", ""-22768719609693469/100000000000000000000"", ""-10"", ""11/5"", ""1484879391383461334190428494203919108187/1000000000000000000000000000000000000000""]"
negative_009_fold,709609736935664357564482922037033177/1000000000000000000000000000000000000,-3,0,-195000000000000000000000000000000000000/2805707106292307933209312142407364947,double_full_return,0,,,-1,scan_cap,2.353852668369765e+17,unresolved,0,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-195000000000000000000000000000000000000/2805707106292307933209312142407364947"", ""0"", ""-10"", ""11/5"", ""709609736935664357564482922037033177/1000000000000000000000000000000000000""]"
positive_infinity_013_fold,151186079691549714590921433748238297/100000000000000000000000000000000000,11/2,0,-23750000000000000000000000000000000000/1163046876607046860500135771230621267,double_full_return,0,,,1,integration_failure,3565.5626569717606,unresolved,2,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-23750000000000000000000000000000000000/1163046876607046860500135771230621267"", ""0"", ""-10"", ""11/5"", ""151186079691549714590921433748238297/100000000000000000000000000000000000""]"
positive_infinity_013_pair,1511894008741148782592020693773573013111/1000000000000000000000000000000000000000,11/2,0,-237500000000000000000000000000000000000000/11630834096152636608512227631509303144221,double_full_return,2,SU,1,1,integration_failure,3639.4394842769243,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-237500000000000000000000000000000000000000/11630834096152636608512227631509303144221"", ""0"", ""-10"", ""11/5"", ""1511894008741148782592020693773573013111/1000000000000000000000000000000000000000""]"
positive_infinity_013_hopf_1,1511894008741148782592020693773573013111/1000000000000000000000000000000000000000,11/2,-11297262135173897/5000000000000000000,-237500000000000000000000000000000000000000/11630834096152636608512227631509303144221,double_full_return,2,US,-1,-1,scan_cap,2.353852668369765e+17,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-237500000000000000000000000000000000000000/11630834096152636608512227631509303144221"", ""-11297262135173897/5000000000000000000"", ""-10"", ""11/5"", ""1511894008741148782592020693773573013111/1000000000000000000000000000000000000000""]"
positive_infinity_013_hopf_0.1,1511894008741148782592020693773573013111/1000000000000000000000000000000000000000,11/2,-11297262135173897/50000000000000000000,-237500000000000000000000000000000000000000/11630834096152636608512227631509303144221,double_full_return,3,USU,1,1,integration_failure,28172.278738939578,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-237500000000000000000000000000000000000000/11630834096152636608512227631509303144221"", ""-11297262135173897/50000000000000000000"", ""-10"", ""11/5"", ""1511894008741148782592020693773573013111/1000000000000000000000000000000000000000""]"
negative_009_pair,7081195731464516140639259936604429173341/10000000000000000000000000000000000000000,-3,0,-650000000000000000000000000000000000000000/9297717682036559182343953100882906968917,double_full_return,2,US,-1,-1,scan_cap,2.353852668369765e+17,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-650000000000000000000000000000000000000000/9297717682036559182343953100882906968917"", ""0"", ""-10"", ""11/5"", ""7081195731464516140639259936604429173341/10000000000000000000000000000000000000000""]"
negative_009_hopf_1,7081195731464516140639259936604429173341/10000000000000000000000000000000000000000,-3,117529894001921/400000000000000000,-650000000000000000000000000000000000000000/9297717682036559182343953100882906968917,double_full_return,3,SUS,-1,-1,scan_cap,2.353852668369765e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-650000000000000000000000000000000000000000/9297717682036559182343953100882906968917"", ""117529894001921/400000000000000000"", ""-10"", ""11/5"", ""7081195731464516140639259936604429173341/10000000000000000000000000000000000000000""]"
negative_009_hopf_0.1,7081195731464516140639259936604429173341/10000000000000000000000000000000000000000,-3,117529894001921/4000000000000000000,-650000000000000000000000000000000000000000/9297717682036559182343953100882906968917,double_full_return,3,SUS,-1,-1,scan_cap,2.353852668369765e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-650000000000000000000000000000000000000000/9297717682036559182343953100882906968917"", ""117529894001921/4000000000000000000"", ""-10"", ""11/5"", ""7081195731464516140639259936604429173341/10000000000000000000000000000000000000000""]"
positive_infinity_014_fold,153775968727269748331869752588085607/100000000000000000000000000000000000,6,0,-24000000000000000000000000000000000000/1191535655999967231650567278468941677,double_full_return,0,,,1,integration_failure,14177.675068207283,unresolved,2,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-24000000000000000000000000000000000000/1191535655999967231650567278468941677"", ""0"", ""-10"", ""11/5"", ""153775968727269748331869752588085607/100000000000000000000000000000000000""]"
positive_infinity_014_pair,1537765610837839633527163369188786563191/1000000000000000000000000000000000000000,6,0,-80000000000000000000000000000000000000000/3971807239738745322932932353692217398367,double_full_return,2,SU,1,1,integration_failure,14490.167369489483,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-80000000000000000000000000000000000000000/3971807239738745322932932353692217398367"", ""0"", ""-10"", ""11/5"", ""1537765610837839633527163369188786563191/1000000000000000000000000000000000000000""]"
positive_infinity_014_hopf_1,1537765610837839633527163369188786563191/1000000000000000000000000000000000000000,6,-22439961307796461/10000000000000000000,-80000000000000000000000000000000000000000/3971807239738745322932932353692217398367,double_full_return,2,US,-1,-1,scan_cap,2.353852668369765e+17,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-80000000000000000000000000000000000000000/3971807239738745322932932353692217398367"", ""-22439961307796461/10000000000000000000"", ""-10"", ""11/5"", ""1537765610837839633527163369188786563191/1000000000000000000000000000000000000000""]"
positive_infinity_014_hopf_0.1,1537765610837839633527163369188786563191/1000000000000000000000000000000000000000,6,-22439961307796461/100000000000000000000,-80000000000000000000000000000000000000000/3971807239738745322932932353692217398367,double_full_return,2,US,-1,-1,scan_cap,2.353852668369765e+17,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-80000000000000000000000000000000000000000/3971807239738745322932932353692217398367"", ""-22439961307796461/100000000000000000000"", ""-10"", ""11/5"", ""1537765610837839633527163369188786563191/1000000000000000000000000000000000000000""]"
negative_010_fold,63967562971281838415603387950864203/100000000000000000000000000000000000,-5,0,-18500000000000000000000000000000000000/203643192684100222571637267459506233,double_full_return,0,,,-1,scan_cap,2.353852668369765e+17,unresolved,0,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-18500000000000000000000000000000000000/203643192684100222571637267459506233"", ""0"", ""-10"", ""11/5"", ""63967562971281838415603387950864203/100000000000000000000000000000000000""]"
negative_010_pair,3192298819636726348483580226597767633367/5000000000000000000000000000000000000000,-5,0,-925000000000000000000000000000000000000000/10115287016003989833319382492575443967037,double_full_return,2,US,-1,-1,scan_cap,2.353852668369765e+17,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-925000000000000000000000000000000000000000/10115287016003989833319382492575443967037"", ""0"", ""-10"", ""11/5"", ""3192298819636726348483580226597767633367/5000000000000000000000000000000000000000""]"
negative_010_hopf_1,3192298819636726348483580226597767633367/5000000000000000000000000000000000000000,-5,22302205395390709/50000000000000000000,-925000000000000000000000000000000000000000/10115287016003989833319382492575443967037,double_full_return,3,SUS,-1,-1,scan_cap,2.353852668369765e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-925000000000000000000000000000000000000000/10115287016003989833319382492575443967037"", ""22302205395390709/50000000000000000000"", ""-10"", ""11/5"", ""3192298819636726348483580226597767633367/5000000000000000000000000000000000000000""]"
negative_010_hopf_0.1,3192298819636726348483580226597767633367/5000000000000000000000000000000000000000,-5,22302205395390709/500000000000000000000,-925000000000000000000000000000000000000000/10115287016003989833319382492575443967037,double_full_return,3,SUS,-1,-1,scan_cap,2.353852668369765e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-925000000000000000000000000000000000000000/10115287016003989833319382492575443967037"", ""22302205395390709/500000000000000000000"", ""-10"", ""11/5"", ""3192298819636726348483580226597767633367/5000000000000000000000000000000000000000""]"
positive_infinity_015_fold,77654532752802296576102509646326011/50000000000000000000000000000000000,314942409668582374222851457836672633/50000000000000000000000000000000000,0,-12074712048342911871114257289183363165/604199860280825262337127606109586121,double_full_return,2,SU,1,1,integration_failure,61851.71570363196,agree,0,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-12074712048342911871114257289183363165/604199860280825262337127606109586121"", ""0"", ""-10"", ""11/5"", ""77654532752802296576102509646326011/50000000000000000000000000000000000""]"
positive_infinity_015_pair,1941364530256683231140636254913066877/1250000000000000000000000000000000000,314942409668582374222851457836672633/50000000000000000000000000000000000,0,-301867801208572796777856432229584079125/15105009832823515542546998804043735647,double_full_return,2,SU,1,1,integration_failure,63264.40482950237,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-301867801208572796777856432229584079125/15105009832823515542546998804043735647"", ""0"", ""-10"", ""11/5"", ""1941364530256683231140636254913066877/1250000000000000000000000000000000000""]"
positive_infinity_015_hopf_1,1941364530256683231140636254913066877/1250000000000000000000000000000000000,314942409668582374222851457836672633/50000000000000000000000000000000000,-9729048537677087/5000000000000000000,-301867801208572796777856432229584079125/15105009832823515542546998804043735647,double_full_return,2,US,-1,-1,scan_cap,2.353852668369765e+17,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-301867801208572796777856432229584079125/15105009832823515542546998804043735647"", ""-9729048537677087/5000000000000000000"", ""-10"", ""11/5"", ""1941364530256683231140636254913066877/1250000000000000000000000000000000000""]"
positive_infinity_015_hopf_0.1,1941364530256683231140636254913066877/1250000000000000000000000000000000000,314942409668582374222851457836672633/50000000000000000000000000000000000,-304032766802409/1562500000000000000,-301867801208572796777856432229584079125/15105009832823515542546998804043735647,double_full_return,2,US,-1,-1,scan_cap,2.353852668369765e+17,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-301867801208572796777856432229584079125/15105009832823515542546998804043735647"", ""-304032766802409/1562500000000000000"", ""-10"", ""11/5"", ""1941364530256683231140636254913066877/1250000000000000000000000000000000000""]"
negative_011_fold,69908234782783710979023408433564727/125000000000000000000000000000000000,-10,0,-20000000000000000000000000000000000000/143990582610620820769257492769211997,double_full_return,0,,,-1,scan_cap,2.353852668369765e+17,unresolved,0,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-20000000000000000000000000000000000000/143990582610620820769257492769211997"", ""0"", ""-10"", ""11/5"", ""69908234782783710979023408433564727/125000000000000000000000000000000000""]"
negative_011_pair,5585871441075139133626272794126335735637/10000000000000000000000000000000000000000,-10,0,-1600000000000000000000000000000000000000000/11444585851826530469889000735389693092007,double_full_return,2,US,-1,-1,scan_cap,2.353852668369765e+17,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-1600000000000000000000000000000000000000000/11444585851826530469889000735389693092007"", ""0"", ""-10"", ""11/5"", ""5585871441075139133626272794126335735637/10000000000000000000000000000000000000000""]"
positive_infinity_016_fold,9787299907294845511301048971995379/6250000000000000000000000000000000,327381432695878484400974206191890639/50000000000000000000000000000000000,0,-1733843880497056060286410147279921885/87326055977420914999213187076513336,double_full_return,2,SU,1,1,integration_failure,554883.6171306028,agree,0,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-1733843880497056060286410147279921885/87326055977420914999213187076513336"", ""0"", ""-10"", ""11/5"", ""9787299907294845511301048971995379/6250000000000000000000000000000000""]"
positive_infinity_016_pair,391492012943193773204176544865334070227/250000000000000000000000000000000000000,327381432695878484400974206191890639/50000000000000000000000000000000000,0,-60684535817396962110024355154797265975000/3056412142375131505245941993518674772497,double_full_return,2,SU,1,1,integration_failure,567917.5026335969,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-60684535817396962110024355154797265975000/3056412142375131505245941993518674772497"", ""0"", ""-10"", ""11/5"", ""391492012943193773204176544865334070227/250000000000000000000000000000000000000""]"
negative_011_hopf_1,5585871441075139133626272794126335735637/10000000000000000000000000000000000000000,-10,16056978781291897/20000000000000000000,-1600000000000000000000000000000000000000000/11444585851826530469889000735389693092007,double_full_return,3,SUS,-1,-1,scan_cap,2.353852668369765e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-1600000000000000000000000000000000000000000/11444585851826530469889000735389693092007"", ""16056978781291897/20000000000000000000"", ""-10"", ""11/5"", ""5585871441075139133626272794126335735637/10000000000000000000000000000000000000000""]"
positive_infinity_016_hopf_1,391492012943193773204176544865334070227/250000000000000000000000000000000000000,327381432695878484400974206191890639/50000000000000000000000000000000000,-14877136616266171/10000000000000000000,-60684535817396962110024355154797265975000/3056412142375131505245941993518674772497,double_full_return,2,US,-1,-1,scan_cap,2.353852668369765e+17,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-60684535817396962110024355154797265975000/3056412142375131505245941993518674772497"", ""-14877136616266171/10000000000000000000"", ""-10"", ""11/5"", ""391492012943193773204176544865334070227/250000000000000000000000000000000000000""]"
positive_infinity_016_hopf_0.1,391492012943193773204176544865334070227/250000000000000000000000000000000000000,327381432695878484400974206191890639/50000000000000000000000000000000000,-14877136616266173/100000000000000000000,-60684535817396962110024355154797265975000/3056412142375131505245941993518674772497,double_full_return,2,US,-1,-1,scan_cap,2.353852668369765e+17,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-60684535817396962110024355154797265975000/3056412142375131505245941993518674772497"", ""-14877136616266173/100000000000000000000"", ""-10"", ""11/5"", ""391492012943193773204176544865334070227/250000000000000000000000000000000000000""]"
negative_011_hopf_0.1,5585871441075139133626272794126335735637/10000000000000000000000000000000000000000,-10,80284893906459493/1000000000000000000000,-1600000000000000000000000000000000000000000/11444585851826530469889000735389693092007,double_full_return,3,SUS,-1,-1,scan_cap,2.353852668369765e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-1600000000000000000000000000000000000000000/11444585851826530469889000735389693092007"", ""80284893906459493/1000000000000000000000"", ""-10"", ""11/5"", ""5585871441075139133626272794126335735637/10000000000000000000000000000000000000000""]"
positive_infinity_017_fold,78666653352201683675534447366269921/50000000000000000000000000000000000,167204885551458909420425180582034381/25000000000000000000000000000000000,0,-12172048855514589094204251805820343810/615333186874218520430878921028969131,double_full_return,2,SU,1,1,integration_failure,4830468.899518596,agree,0,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-12172048855514589094204251805820343810/615333186874218520430878921028969131"", ""0"", ""-10"", ""11/5"", ""78666653352201683675534447366269921/50000000000000000000000000000000000""]"
positive_infinity_017_pair,786666535925852323924011150290839871017/500000000000000000000000000000000000000,167204885551458909420425180582034381/25000000000000000000000000000000000,0,-121720488555145890942042518058203438100000/6153331895184375563164122653199238581187,double_full_return,2,SU,1,1,integration_failure,4945261.630297546,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-121720488555145890942042518058203438100000/6153331895184375563164122653199238581187"", ""0"", ""-10"", ""11/5"", ""786666535925852323924011150290839871017/500000000000000000000000000000000000000""]"
positive_infinity_017_hopf_1,786666535925852323924011150290839871017/500000000000000000000000000000000000000,167204885551458909420425180582034381/25000000000000000000000000000000000,-5898931534986223/5000000000000000000,-121720488555145890942042518058203438100000/6153331895184375563164122653199238581187,double_full_return,2,US,-1,-1,scan_cap,2.353852668369765e+17,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-121720488555145890942042518058203438100000/6153331895184375563164122653199238581187"", ""-5898931534986223/5000000000000000000"", ""-10"", ""11/5"", ""786666535925852323924011150290839871017/500000000000000000000000000000000000000""]"
positive_infinity_017_hopf_0.1,786666535925852323924011150290839871017/500000000000000000000000000000000000000,167204885551458909420425180582034381/25000000000000000000000000000000000,-5898931534986223/50000000000000000000,-121720488555145890942042518058203438100000/6153331895184375563164122653199238581187,double_full_return,2,US,-1,-1,scan_cap,2.353852668369765e+17,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-121720488555145890942042518058203438100000/6153331895184375563164122653199238581187"", ""-5898931534986223/50000000000000000000"", ""-10"", ""11/5"", ""786666535925852323924011150290839871017/500000000000000000000000000000000000000""]"
positive_infinity_018_fold,158138306456896380444438721091703771/100000000000000000000000000000000000,342008729018362619969846297370204979/50000000000000000000000000000000000,0,-24420087290183626199698462973702049790/1239521371025860184888825932008741481,double_full_return,2,SU,1,1,integration_failure,340906614.7230364,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-24420087290183626199698462973702049790/1239521371025860184888825932008741481"", ""0"", ""-10"", ""11/5"", ""158138306456896380444438721091703771/100000000000000000000000000000000000""]"
positive_infinity_018_pair,1581383064596916817724860076305973217971/1000000000000000000000000000000000000000,342008729018362619969846297370204979/50000000000000000000000000000000000,0,-244200872901836261996984629737020497900000/12395213710566084994973460839365705397681,double_full_return,2,SU,1,1,integration_failure,349059151.0745195,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-244200872901836261996984629737020497900000/12395213710566084994973460839365705397681"", ""0"", ""-10"", ""11/5"", ""1581383064596916817724860076305973217971/1000000000000000000000000000000000000000""]"
positive_infinity_018_hopf_1,1581383064596916817724860076305973217971/1000000000000000000000000000000000000000,342008729018362619969846297370204979/50000000000000000000000000000000000,-82697224820125733/100000000000000000000,-244200872901836261996984629737020497900000/12395213710566084994973460839365705397681,double_full_return,2,US,-1,-1,scan_cap,2.353852668369765e+17,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-244200872901836261996984629737020497900000/12395213710566084994973460839365705397681"", ""-82697224820125733/100000000000000000000"", ""-10"", ""11/5"", ""1581383064596916817724860076305973217971/1000000000000000000000000000000000000000""]"
positive_infinity_018_hopf_0.1,1581383064596916817724860076305973217971/1000000000000000000000000000000000000000,342008729018362619969846297370204979/50000000000000000000000000000000000,-5168576551257859/62500000000000000000,-244200872901836261996984629737020497900000/12395213710566084994973460839365705397681,double_full_return,2,US,-1,-1,scan_cap,2.353852668369765e+17,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-244200872901836261996984629737020497900000/12395213710566084994973460839365705397681"", ""-5168576551257859/62500000000000000000"", ""-10"", ""11/5"", ""1581383064596916817724860076305973217971/1000000000000000000000000000000000000000""]"
positive_infinity_019_fold,158569426954948713626550544504407659/100000000000000000000000000000000000,346042332617126945483047647176551933/50000000000000000000000000000000000,0,-24460423326171269454830476471765519330/1244263696504435849892055989548484249,binary128_matching,0,,,1,scan_cap,2.3538526683701997e+17,unresolved,0,1,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-24460423326171269454830476471765519330/1244263696504435849892055989548484249"", ""0"", ""-10"", ""11/5"", ""158569426954948713626550544504407659/100000000000000000000000000000000000""]"
negative_012_fold,15609794553167727387060755769824227/31250000000000000000000000000000000,-20,0,-3437500000000000000000000000000000000/15457740084845001257668313468066497,double_full_return,0,,,-1,scan_cap,2.353852668369765e+17,unresolved,0,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-3437500000000000000000000000000000000/15457740084845001257668313468066497"", ""0"", ""-10"", ""11/5"", ""15609794553167727387060755769824227/31250000000000000000000000000000000""]"
negative_012_pair,4992573639025378798339671413432251683077/10000000000000000000000000000000000000000,-20,0,-1100000000000000000000000000000000000000000/4918310029279166781736385547754768513847,double_full_return,2,US,-1,-1,scan_cap,2.353852668369765e+17,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-1100000000000000000000000000000000000000000/4918310029279166781736385547754768513847"", ""0"", ""-10"", ""11/5"", ""4992573639025378798339671413432251683077/10000000000000000000000000000000000000000""]"
negative_012_hopf_1,4992573639025378798339671413432251683077/10000000000000000000000000000000000000000,-20,14612289131604407/10000000000000000000,-1100000000000000000000000000000000000000000/4918310029279166781736385547754768513847,double_full_return,3,SUS,-1,-1,scan_cap,2.353852668369765e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-1100000000000000000000000000000000000000000/4918310029279166781736385547754768513847"", ""14612289131604407/10000000000000000000"", ""-10"", ""11/5"", ""4992573639025378798339671413432251683077/10000000000000000000000000000000000000000""]"
negative_012_hopf_0.1,4992573639025378798339671413432251683077/10000000000000000000000000000000000000000,-20,1826536141450551/12500000000000000000,-1100000000000000000000000000000000000000000/4918310029279166781736385547754768513847,double_full_return,3,SUS,-1,-1,scan_cap,2.353852668369765e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-1100000000000000000000000000000000000000000/4918310029279166781736385547754768513847"", ""1826536141450551/12500000000000000000"", ""-10"", ""11/5"", ""4992573639025378798339671413432251683077/10000000000000000000000000000000000000000""]"
negative_013_fold,18915077392353828862783820954553063/40000000000000000000000000000000000,-30,0,-2400000000000000000000000000000000000/8065851315892117490622030500083693,double_full_return,0,,,-1,scan_cap,2.353852668369765e+17,unresolved,0,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-2400000000000000000000000000000000000/8065851315892117490622030500083693"", ""0"", ""-10"", ""11/5"", ""18915077392353828862783820954553063/40000000000000000000000000000000000""]"
negative_013_pair,4727830340601398471532053026752551953681/10000000000000000000000000000000000000000,-30,0,-200000000000000000000000000000000000000000/668711248871794395617527764759357163497,double_full_return,2,US,-1,-1,scan_cap,2.353852668369765e+17,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-200000000000000000000000000000000000000000/668711248871794395617527764759357163497"", ""0"", ""-10"", ""11/5"", ""4727830340601398471532053026752551953681/10000000000000000000000000000000000000000""]"
negative_013_hopf_1,4727830340601398471532053026752551953681/10000000000000000000000000000000000000000,-30,2583630700291157/1250000000000000000,-200000000000000000000000000000000000000000/668711248871794395617527764759357163497,double_full_return,3,SUS,-1,-1,scan_cap,2.353852668369765e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-200000000000000000000000000000000000000000/668711248871794395617527764759357163497"", ""2583630700291157/1250000000000000000"", ""-10"", ""11/5"", ""4727830340601398471532053026752551953681/10000000000000000000000000000000000000000""]"
negative_013_hopf_0.1,4727830340601398471532053026752551953681/10000000000000000000000000000000000000000,-30,20669045602329257/100000000000000000000,-200000000000000000000000000000000000000000/668711248871794395617527764759357163497,double_full_return,3,SUS,-1,-1,scan_cap,2.353852668369765e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-200000000000000000000000000000000000000000/668711248871794395617527764759357163497"", ""20669045602329257/100000000000000000000"", ""-10"", ""11/5"", ""4727830340601398471532053026752551953681/10000000000000000000000000000000000000000""]"
negative_014_fold,92108366260452135725937191097408101/200000000000000000000000000000000000,-747655797945185549102836285499576223/20000000000000000000000000000000000,0,-350,double_full_return,0,,,-1,scan_cap,2.353852668369765e+17,unresolved,0,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-350"", ""0"", ""-10"", ""11/5"", ""92108366260452135725937191097408101/200000000000000000000000000000000000""]"
negative_014_pair,460855281616395517887146330764795884013/1000000000000000000000000000000000000000,-3714143315537545122689732531110716930999/100000000000000000000000000000000000000,0,-350,double_full_return,2,US,-1,-1,scan_cap,2.353852668369765e+17,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-350"", ""0"", ""-10"", ""11/5"", ""460855281616395517887146330764795884013/1000000000000000000000000000000000000000""]"
negative_014_hopf_1,460855281616395517887146330764795884013/1000000000000000000000000000000000000000,-3714143315537545122689732531110716930999/100000000000000000000000000000000000000,12411749417810679/5000000000000000000,-350,double_full_return,3,SUS,-1,-1,scan_cap,2.353852668369765e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-350"", ""12411749417810679/5000000000000000000"", ""-10"", ""11/5"", ""460855281616395517887146330764795884013/1000000000000000000000000000000000000000""]"
negative_014_hopf_0.1,460855281616395517887146330764795884013/1000000000000000000000000000000000000000,-3714143315537545122689732531110716930999/100000000000000000000000000000000000000,24823498835621361/100000000000000000000,-350,double_full_return,3,SUS,-1,-1,scan_cap,2.353852668369765e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-350"", ""24823498835621361/100000000000000000000"", ""-10"", ""11/5"", ""460855281616395517887146330764795884013/1000000000000000000000000000000000000000""]"
negative_015_fold,88856623774564011528892182393010169/200000000000000000000000000000000000,-1043194246318162858639673943091993269/20000000000000000000000000000000000,0,-450,double_full_return,0,,,-1,scan_cap,2.353852668369765e+17,unresolved,0,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-450"", ""0"", ""-10"", ""11/5"", ""88856623774564011528892182393010169/200000000000000000000000000000000000""]"
negative_015_pair,889164784382805627355047438220504171893/2000000000000000000000000000000000000000,-10372686346102242891850303616170086982593/200000000000000000000000000000000000000,0,-450,double_full_return,2,US,-1,-1,scan_cap,2.353852668369765e+17,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-450"", ""0"", ""-10"", ""11/5"", ""889164784382805627355047438220504171893/2000000000000000000000000000000000000000""]"
negative_015_hopf_1,889164784382805627355047438220504171893/2000000000000000000000000000000000000000,-10372686346102242891850303616170086982593/200000000000000000000000000000000000000,16347822895733889/5000000000000000000,-450,double_full_return,3,SUS,-1,-1,scan_cap,2.353852668369765e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-450"", ""16347822895733889/5000000000000000000"", ""-10"", ""11/5"", ""889164784382805627355047438220504171893/2000000000000000000000000000000000000000""]"
negative_015_hopf_0.1,889164784382805627355047438220504171893/2000000000000000000000000000000000000000,-10372686346102242891850303616170086982593/200000000000000000000000000000000000000,32695645791467779/100000000000000000000,-450,double_full_return,3,SUS,-1,-1,scan_cap,2.353852668369765e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-450"", ""32695645791467779/100000000000000000000"", ""-10"", ""11/5"", ""889164784382805627355047438220504171893/2000000000000000000000000000000000000000""]"
positive_infinity_019_pair,317138853909932986247785225356266954657/200000000000000000000000000000000000000,346042332617126945483047647176551933/50000000000000000000000000000000000,0,-48920846652342538909660952943531038660000/2488527393009262848725637478918936501227,binary128_matching,2,SU,1,1,scan_cap,2.3538526683701997e+17,agree,0,1,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-48920846652342538909660952943531038660000/2488527393009262848725637478918936501227"", ""0"", ""-10"", ""11/5"", ""317138853909932986247785225356266954657/200000000000000000000000000000000000000""]"
