label,kind,c_exact,m_exact,K_exact,beta_exact,coefficient_vector,origin_count,origin_stability,origin_roots,section_angle,return_edge,edge_kind,edge_D,outside_outer_D,sign_mismatch,known_pair_supported,remote_roots
events_logm_6,hopf,33821618022062256122097862207689767367525311832677/100000000000000000000000000000000000000000000000000,342866778988001265550887715926485971/50000000000000000000000000,-43873988998743411886966273745533893820576875589126730952560550008796330102264061381963/25000000000000000000000000000000000000000000000000000000000000000000000000000,1/1000000,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-342866778988001265550887715926485971/50000000000000000000000000"", ""1/1000000"", ""-10"", ""11/5"", ""33821618022062256122097862207689767367525311832677/100000000000000000000000000000000000000000000000000""]",0,,[],-0.7853981642623458,,integration_failure_bracket,,,False,True,[[]]
events_logm_10,fold,84171502163838121651074955455667491/250000000000000000000000000000000000,8645145685991851026666419025163957/3125000000000000000000,-2802008220687128479389937720756938570007632373694320351971327351959243/3906250000000000000000000000000000000000000000000000000000,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-8645145685991851026666419025163957/3125000000000000000000"", ""0"", ""-10"", ""11/5"", ""84171502163838121651074955455667491/250000000000000000000000000000000000""]",0,,[],-0.7853981633995925,,integration_failure_bracket,,,False,False,[[]]
events_logm_10,pair,16834992267400062432758862257099755353912160490549/50000000000000000000000000000000000000000000000000,8645145685991851026666419025163957/3125000000000000000000,-560335853014357233656588317198087023415800855174227464830000679812503813684986633677/781250000000000000000000000000000000000000000000000000000000000000000000,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-8645145685991851026666419025163957/3125000000000000000000"", ""0"", ""-10"", ""11/5"", ""16834992267400062432758862257099755353912160490549/50000000000000000000000000000000000000000000000000""]",0,,[],-0.7853981633995925,,integration_failure_bracket,,,False,True,[[]]
events_logm_10,hopf_small,16834992267400062432758862257099755353912160490549/50000000000000000000000000000000000000000000000000,8645145685991851026666419025163957/3125000000000000000000,-560335853014357233656588317198087023415800855174227464830000679812503813684986633677/781250000000000000000000000000000000000000000000000000000000000000000000,1/10000000,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-8645145685991851026666419025163957/3125000000000000000000"", ""1/10000000"", ""-10"", ""11/5"", ""16834992267400062432758862257099755353912160490549/50000000000000000000000000000000000000000000000000""]",0,,[],-0.7853981633995925,,integration_failure_bracket,,,False,True,[[]]
events_logm_10,hopf,16834992267400062432758862257099755353912160490549/50000000000000000000000000000000000000000000000000,8645145685991851026666419025163957/3125000000000000000000,-560335853014357233656588317198087023415800855174227464830000679812503813684986633677/781250000000000000000000000000000000000000000000000000000000000000000000,1/1000000,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-8645145685991851026666419025163957/3125000000000000000000"", ""1/1000000"", ""-10"", ""11/5"", ""16834992267400062432758862257099755353912160490549/50000000000000000000000000000000000000000000000000""]",0,,[],-0.7853981633995925,,integration_failure_bracket,,,False,True,[[]]
positive_extension_0,fold,1593576894534133619597089341556103/1000000000000000000000000000000000,764877183729233821950408753627663/39062500000000000000000000000000,1380285759973541176684011177479120981907844331921236010745560050179/195312500000000000000000000000000000000000000000000000000000000000,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-764877183729233821950408753627663/39062500000000000000000000000000"", ""0"", ""-10"", ""11/5"", ""1593576894534133619597089341556103/1000000000000000000000000000000000""]",1,S,[4454785377.297331],-1.0660115307276445,2.010328497117133e+17,scan_cap,-15.767047509911201,-0.012459123443658626,False,False,[[]]
positive_extension_0,pair,7967884472670668097985436269008320275702191306503/5000000000000000000000000000000000000000000000000,764877183729233821950408753627663/39062500000000000000000000000000,6901428799867705883419968059230148100243972114484087253657170067672236750498517379/976562500000000000000000000000000000000000000000000000000000000000000000000000000,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-764877183729233821950408753627663/39062500000000000000000000000000"", ""0"", ""-10"", ""11/5"", ""7967884472670668097985436269008320275702191306503/5000000000000000000000000000000000000000000000000""]",1,S,[4454785377.297331],-1.0660115307276445,2.010328497117133e+17,scan_cap,-15.767047509911201,-0.012459123443658626,False,True,[[]]
positive_extension_0,hopf_small,7967884472670668097985436269008320275702191306503/5000000000000000000000000000000000000000000000000,764877183729233821950408753627663/39062500000000000000000000000000,6901428799867705883419968059230148100243972114484087253657170067672236750498517379/976562500000000000000000000000000000000000000000000000000000000000000000000000000,-17010915317073207154826840387878600956704439671011/5000000000000000000000000000000000000000000000000000000000000000000000000000,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-764877183729233821950408753627663/39062500000000000000000000000000"", ""-17010915317073207154826840387878600956704439671011/5000000000000000000000000000000000000000000000000000000000000000000000000000"", ""-10"", ""11/5"", ""7967884472670668097985436269008320275702191306503/5000000000000000000000000000000000000000000000000""]",1,S,[4454785377.297331],-1.0660115307276445,2.010328497117133e+17,scan_cap,-15.767047509911201,-0.012459123443658626,False,True,[[]]
positive_extension_0,hopf,7967884472670668097985436269008320275702191306503/5000000000000000000000000000000000000000000000000,764877183729233821950408753627663/39062500000000000000000000000000,6901428799867705883419968059230148100243972114484087253657170067672236750498517379/976562500000000000000000000000000000000000000000000000000000000000000000000000000,-17010915317073207154826840387878600956704439671011/500000000000000000000000000000000000000000000000000000000000000000000000000,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-764877183729233821950408753627663/39062500000000000000000000000000"", ""-17010915317073207154826840387878600956704439671011/500000000000000000000000000000000000000000000000000000000000000000000000000"", ""-10"", ""11/5"", ""7967884472670668097985436269008320275702191306503/5000000000000000000000000000000000000000000000000""]",1,S,[4454785377.297331],-1.0660115307276445,2.010328497117133e+17,scan_cap,-15.767047509911201,-0.012459123443658626,False,True,[[]]
positive_extension_1,fold,159373932760379731353212846266857937/100000000000000000000000000000000000,39158518495695291859367193166713767/2000000000000000000000000000000000,7070058783171656696393377101203421322218036620177246437406764242305469/1000000000000000000000000000000000000000000000000000000000000000000000,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-39158518495695291859367193166713767/2000000000000000000000000000000000"", ""0"", ""-10"", ""11/5"", ""159373932760379731353212846266857937/100000000000000000000000000000000000""]",1,S,[4454785377.297331],-1.0660159994339242,2.010328497117133e+17,scan_cap,-15.799890266598311,-0.01214817738029339,False,False,[[]]
