seed: 3 [([], []), ([0.6261014622750635, 2.029004526795348, 14.399481219986765], ['S', 'U', 'S'])] score 3.0
gen 44: sigma 0.0767 best score 3.0000 totals {np.int64(0): np.int64(44), np.int64(1): np.int64(67), np.int64(2): np.int64(17)} 17s
gen 45: sigma 0.0767 best score 3.0000 totals {np.int64(0): np.int64(41), np.int64(1): np.int64(70), np.int64(2): np.int64(17)} 19s
gen 46: sigma 0.0744 best score 3.0000 totals {np.int64(0): np.int64(40), np.int64(1): np.int64(70), np.int64(2): np.int64(18)} 17s
gen 47: sigma 0.0744 best score 3.0000 totals {np.int64(0): np.int64(48), np.int64(1): np.int64(60), np.int64(2): np.int64(20)} 17s
gen 48: sigma 0.0722 best score 3.0000 totals {np.int64(0): np.int64(47), np.int64(1): np.int64(64), np.int64(2): np.int64(17)} 15s
gen 49: sigma 0.0722 best score 3.0000 totals {np.int64(0): np.int64(41), np.int64(1): np.int64(72), np.int64(2): np.int64(15)} 17s
gen 50: sigma 0.07 best score 3.0000 totals {np.int64(0): np.int64(45), np.int64(1): np.int64(66), np.int64(2): np.int64(17)} 17s
gen 51: sigma 0.07 best score 3.0000 totals {np.int64(0): np.int64(44), np.int64(1): np.int64(64), np.int64(2): np.int64(20)} 19s
gen 52: sigma 0.0679 best score 3.0000 totals {np.int64(0): np.int64(44), np.int64(1): np.int64(64), np.int64(2): np.int64(20)} 19s
gen 53: sigma 0.0679 best score 3.0000 totals {np.int64(0): np.int64(42), np.int64(1): np.int64(66), np.int64(2): np.int64(20)} 17s
gen 54: sigma 0.0659 best score 3.0000 totals {np.int64(0): np.int64(50), np.int64(1): np.int64(67), np.int64(2): np.int64(11)} 17s
gen 55: sigma 0.0659 best score 3.0000 totals {np.int64(0): np.int64(36), np.int64(1): np.int64(74), np.int64(2): np.int64(18)} 18s
gen 56: sigma 0.0639 best score 3.0000 totals {np.int64(0): np.int64(36), np.int64(1): np.int64(66), np.int64(2): np.int64(26)} 21s
gen 57: sigma 0.0639 best score 3.0000 totals {np.int64(0): np.int64(45), np.int64(1): np.int64(67), np.int64(2): np.int64(16)} 18s
gen 58: sigma 0.062 best score 3.0000 totals {np.int64(0): np.int64(40), np.int64(1): np.int64(66), np.int64(2): np.int64(22)} 18s
gen 59: sigma 0.062 best score 3.0000 totals {np.int64(0): np.int64(39), np.int64(1): np.int64(66), np.int64(2): np.int64(23)} 19s
gen 60: sigma 0.0602 best score 3.0000 totals {np.int64(0): np.int64(41), np.int64(1): np.int64(69), np.int64(2): np.int64(18)} 18s
gen 61: sigma 0.0602 best score 3.0000 totals {np.int64(0): np.int64(49), np.int64(1): np.int64(65), np.int64(2): np.int64(14)} 14s
gen 62: sigma 0.0583 best score 3.0000 totals {np.int64(0): np.int64(42), np.int64(1): np.int64(75), np.int64(2): np.int64(11)} 15s
gen 63: sigma 0.0583 best score 3.0000 totals {np.int64(0): np.int64(40), np.int64(1): np.int64(70), np.int64(2): np.int64(18)} 15s
gen 64: sigma 0.0566 best score 3.0000 totals {np.int64(0): np.int64(43), np.int64(1): np.int64(68), np.int64(2): np.int64(17)} 15s
gen 65: sigma 0.0566 best score 3.0000 totals {np.int64(0): np.int64(50), np.int64(1): np.int64(64), np.int64(2): np.int64(14)} 15s
gen 66: sigma 0.0549 best score 3.0000 totals {np.int64(0): np.int64(55), np.int64(1): np.int64(62), np.int64(2): np.int64(11)} 11s
gen 67: sigma 0.0549 best score 3.0000 totals {np.int64(0): np.int64(37), np.int64(1): np.int64(81), np.int64(2): np.int64(10)} 15s
gen 68: sigma 0.0533 best score 3.0000 totals {np.int64(0): np.int64(47), np.int64(1): np.int64(68), np.int64(2): np.int64(13)} 13s
gen 69: sigma 0.0533 best score 3.0000 totals {np.int64(0): np.int64(53), np.int64(1): np.int64(67), np.int64(2): np.int64(8)} 12s
gen 70: sigma 0.0517 best score 3.0000 totals {np.int64(0): np.int64(41), np.int64(1): np.int64(74), np.int64(2): np.int64(13)} 14s
gen 71: sigma 0.0517 best score 3.0000 totals {np.int64(0): np.int64(51), np.int64(1): np.int64(66), np.int64(2): np.int64(11)} 12s
gen 72: sigma 0.0501 best score 3.7909 totals {np.int64(0): np.int64(63), np.int64(1): np.int64(58), np.int64(2): np.int64(6), np.int64(3): np.int64(1)} 10s
gen 73: sigma 0.0501 best score 3.7909 totals {np.int64(0): np.int64(53), np.int64(1): np.int64(66), np.int64(2): np.int64(9)} 9s
gen 74: sigma 0.0486 best score 3.7909 totals {np.int64(0): np.int64(56), np.int64(1): np.int64(67), np.int64(2): np.int64(5)} 5s
gen 75: sigma 0.0486 best score 3.7909 totals {np.int64(0): np.int64(57), np.int64(1): np.int64(66), np.int64(2): np.int64(5)} 5s
gen 76: sigma 0.0471 best score 3.7909 totals {np.int64(0): np.int64(57), np.int64(1): np.int64(67), np.int64(2): np.int64(4)} 6s
gen 77: sigma 0.0471 best score 3.7909 totals {np.int64(0): np.int64(49), np.int64(1): np.int64(74), np.int64(2): np.int64(5)} 5s
gen 78: sigma 0.0457 best score 3.7909 totals {np.int64(0): np.int64(62), np.int64(1): np.int64(63), np.int64(2): np.int64(3)} 4s
gen 79: sigma 0.0457 best score 3.7909 totals {np.int64(0): np.int64(58), np.int64(1): np.int64(69), np.int64(2): np.int64(1)} 5s
DONE best_total 3 elite score 3.790945811233903
