b=1.5 e1=+0.001 da=-0.001 done 590s hist {0: 508, 1: 734, 2: 274, 3: 34}
b=1.5 e1=+0.001 da=-0.01 done 596s hist {0: 513, 1: 744, 2: 282, 3: 36}
b=1.5 e1=+0.001 da=-0.03 done 601s hist {0: 518, 1: 754, 2: 290, 3: 38}
b=1.5 e1=+0.0001 da=+0.0001 done 606s hist {0: 523, 1: 764, 2: 298, 3: 40}
b=1.5 e1=+0.0001 da=+0.001 done 611s hist {0: 528, 1: 774, 2: 306, 3: 42}
b=1.5 e1=+0.0001 da=+0.01 done 616s hist {0: 533, 1: 784, 2: 314, 3: 44}
b=1.5 e1=+0.0001 da=+0.03 done 621s hist {0: 538, 1: 794, 2: 322, 3: 46}
b=1.5 e1=+0.0001 da=-0.0001 done 626s hist {0: 543, 1: 804, 2: 330, 3: 48}
b=1.5 e1=+0.0001 da=-0.001 done 632s hist {0: 548, 1: 814, 2: 338, 3: 50}
b=1.5 e1=+0.0001 da=-0.01 done 637s hist {0: 553, 1: 824, 2: 346, 3: 52}
b=1.5 e1=+0.0001 da=-0.03 done 643s hist {0: 558, 1: 834, 2: 354, 3: 54}
b=1.5 e1=-0.01 da=+0.0001 done 647s hist {0: 566, 1: 846, 2: 359, 3: 54}
b=1.5 e1=-0.01 da=+0.001 done 652s hist {0: 574, 1: 858, 2: 364, 3: 54}
b=1.5 e1=-0.01 da=+0.01 done 657s hist {0: 582, 1: 870, 2: 369, 3: 54}
b=1.5 e1=-0.01 da=+0.03 done 661s hist {0: 590, 1: 882, 2: 374, 3: 54}
b=1.5 e1=-0.01 da=-0.0001 done 666s hist {0: 598, 1: 894, 2: 379, 3: 54}
b=1.5 e1=-0.01 da=-0.001 done 671s hist {0: 606, 1: 906, 2: 384, 3: 54}
b=1.5 e1=-0.01 da=-0.01 done 677s hist {0: 614, 1: 918, 2: 389, 3: 54}
b=1.5 e1=-0.01 da=-0.03 done 682s hist {0: 622, 1: 930, 2: 394, 3: 54}
b=1.5 e1=-0.001 da=+0.0001 done 688s hist {0: 630, 1: 942, 2: 399, 3: 54}
b=1.5 e1=-0.001 da=+0.001 done 694s hist {0: 638, 1: 954, 2: 404, 3: 54}
b=1.5 e1=-0.001 da=+0.01 done 700s hist {0: 646, 1: 966, 2: 409, 3: 54}
b=1.5 e1=-0.001 da=+0.03 done 706s hist {0: 654, 1: 978, 2: 414, 3: 54}
b=1.5 e1=-0.001 da=-0.0001 done 711s hist {0: 662, 1: 990, 2: 419, 3: 54}
b=1.5 e1=-0.001 da=-0.001 done 717s hist {0: 670, 1: 1002, 2: 424, 3: 54}
b=1.5 e1=-0.001 da=-0.01 done 723s hist {0: 678, 1: 1014, 2: 429, 3: 54}
b=1.5 e1=-0.001 da=-0.03 done 729s hist {0: 686, 1: 1026, 2: 434, 3: 54}
b=1.5 e1=-0.0001 da=+0.0001 done 733s hist {0: 694, 1: 1038, 2: 439, 3: 54}
b=1.5 e1=-0.0001 da=+0.001 done 737s hist {0: 702, 1: 1050, 2: 444, 3: 54}
b=1.5 e1=-0.0001 da=+0.01 done 742s hist {0: 710, 1: 1062, 2: 449, 3: 54}
b=1.5 e1=-0.0001 da=+0.03 done 748s hist {0: 718, 1: 1074, 2: 454, 3: 54}
b=1.5 e1=-0.0001 da=-0.0001 done 752s hist {0: 726, 1: 1086, 2: 459, 3: 54}
b=1.5 e1=-0.0001 da=-0.001 done 757s hist {0: 734, 1: 1098, 2: 464, 3: 54}
b=1.5 e1=-0.0001 da=-0.01 done 763s hist {0: 742, 1: 1110, 2: 469, 3: 54}
b=1.5 e1=-0.0001 da=-0.03 done 768s hist {0: 750, 1: 1122, 2: 474, 3: 54}
DONE {0: 750, 1: 1122, 2: 474, 3: 54}
