seed: 4 [([241.53424863175965], ['S']), ([0.029382253660055483, 0.06434438223986316, 0.09521895295863479], ['U', 'S', 'U'])] score 4.846
gen 43: sigma 0.0158 best score 4.8464 totals {np.int64(0): np.int64(9), np.int64(1): np.int64(44), np.int64(2): np.int64(75)} 10s
gen 44: sigma 0.0153 best score 4.8464 totals {np.int64(0): np.int64(6), np.int64(1): np.int64(52), np.int64(2): np.int64(70)} 9s
gen 45: sigma 0.0153 best score 4.8464 totals {np.int64(0): np.int64(8), np.int64(1): np.int64(49), np.int64(2): np.int64(71)} 8s
gen 46: sigma 0.0149 best score 4.8464 totals {np.int64(0): np.int64(5), np.int64(1): np.int64(44), np.int64(2): np.int64(79)} 9s
gen 47: sigma 0.0149 best score 4.8464 totals {np.int64(0): np.int64(6), np.int64(1): np.int64(50), np.int64(2): np.int64(72)} 10s
gen 48: sigma 0.0144 best score 4.8464 totals {np.int64(0): np.int64(7), np.int64(1): np.int64(56), np.int64(2): np.int64(65)} 8s
gen 49: sigma 0.0144 best score 4.8464 totals {np.int64(0): np.int64(13), np.int64(1): np.int64(53), np.int64(2): np.int64(62)} 7s
gen 50: sigma 0.014 best score 4.8464 totals {np.int64(0): np.int64(7), np.int64(1): np.int64(44), np.int64(2): np.int64(77)} 10s
gen 51: sigma 0.014 best score 4.8464 totals {np.int64(0): np.int64(5), np.int64(1): np.int64(50), np.int64(2): np.int64(73)} 8s
gen 52: sigma 0.0136 best score 4.8464 totals {np.int64(0): np.int64(4), np.int64(1): np.int64(47), np.int64(2): np.int64(77)} 8s
gen 53: sigma 0.0136 best score 4.8464 totals {np.int64(0): np.int64(9), np.int64(1): np.int64(45), np.int64(2): np.int64(74)} 9s
gen 54: sigma 0.0132 best score 4.8464 totals {np.int64(0): np.int64(10), np.int64(1): np.int64(44), np.int64(2): np.int64(74)} 7s
gen 55: sigma 0.0132 best score 4.8464 totals {np.int64(0): np.int64(7), np.int64(1): np.int64(50), np.int64(2): np.int64(71)} 9s
gen 56: sigma 0.0128 best score 4.8464 totals {np.int64(0): np.int64(4), np.int64(1): np.int64(48), np.int64(2): np.int64(76)} 7s
gen 57: sigma 0.0128 best score 4.8464 totals {np.int64(0): np.int64(9), np.int64(1): np.int64(39), np.int64(2): np.int64(80)} 8s
gen 58: sigma 0.0124 best score 4.8464 totals {np.int64(0): np.int64(7), np.int64(1): np.int64(39), np.int64(2): np.int64(82)} 9s
gen 59: sigma 0.0124 best score 4.8464 totals {np.int64(0): np.int64(3), np.int64(1): np.int64(40), np.int64(2): np.int64(85)} 9s
gen 60: sigma 0.012 best score 4.8464 totals {np.int64(0): np.int64(8), np.int64(1): np.int64(43), np.int64(2): np.int64(77)} 8s
gen 61: sigma 0.012 best score 4.8464 totals {np.int64(0): np.int64(5), np.int64(1): np.int64(38), np.int64(2): np.int64(85)} 9s
gen 62: sigma 0.0117 best score 4.8464 totals {np.int64(0): np.int64(9), np.int64(1): np.int64(36), np.int64(2): np.int64(83)} 9s
gen 63: sigma 0.0117 best score 4.8464 totals {np.int64(0): np.int64(6), np.int64(1): np.int64(42), np.int64(2): np.int64(80)} 9s
gen 64: sigma 0.0113 best score 4.8464 totals {np.int64(0): np.int64(13), np.int64(1): np.int64(43), np.int64(2): np.int64(72)} 9s
gen 65: sigma 0.0113 best score 4.8464 totals {np.int64(0): np.int64(8), np.int64(1): np.int64(36), np.int64(2): np.int64(84)} 10s
gen 66: sigma 0.011 best score 4.8464 totals {np.int64(0): np.int64(11), np.int64(1): np.int64(42), np.int64(2): np.int64(75)} 9s
gen 67: sigma 0.011 best score 4.8464 totals {np.int64(0): np.int64(6), np.int64(1): np.int64(32), np.int64(2): np.int64(90)} 10s
gen 68: sigma 0.0107 best score 4.8464 totals {np.int64(0): np.int64(8), np.int64(1): np.int64(40), np.int64(2): np.int64(80)} 10s
gen 69: sigma 0.0107 best score 4.8464 totals {np.int64(0): np.int64(10), np.int64(1): np.int64(29), np.int64(2): np.int64(89)} 10s
gen 70: sigma 0.0103 best score 4.8464 totals {np.int64(0): np.int64(4), np.int64(1): np.int64(31), np.int64(2): np.int64(93)} 10s
gen 71: sigma 0.0103 best score 4.8464 totals {np.int64(0): np.int64(7), np.int64(1): np.int64(41), np.int64(2): np.int64(80)} 9s
gen 72: sigma 0.01 best score 4.8464 totals {np.int64(0): np.int64(3), np.int64(1): np.int64(33), np.int64(2): np.int64(92)} 11s
gen 73: sigma 0.01 best score 4.8464 totals {np.int64(0): np.int64(10), np.int64(1): np.int64(35), np.int64(2): np.int64(83)} 10s
gen 74: sigma 0.00972 best score 4.8464 totals {np.int64(0): np.int64(7), np.int64(1): np.int64(34), np.int64(2): np.int64(87)} 10s
gen 75: sigma 0.00972 best score 4.8464 totals {np.int64(0): np.int64(9), np.int64(1): np.int64(26), np.int64(2): np.int64(93)} 10s
gen 76: sigma 0.00943 best score 4.8464 totals {np.int64(0): np.int64(3), np.int64(1): np.int64(28), np.int64(2): np.int64(97)} 12s
gen 77: sigma 0.00943 best score 4.8464 totals {np.int64(0): np.int64(8), np.int64(1): np.int64(45), np.int64(2): np.int64(75)} 9s
gen 78: sigma 0.00915 best score 4.8464 totals {np.int64(0): np.int64(2), np.int64(1): np.int64(36), np.int64(2): np.int64(90)} 10s
gen 79: sigma 0.00915 best score 4.8464 totals {np.int64(0): np.int64(9), np.int64(1): np.int64(33), np.int64(2): np.int64(86)} 10s
DONE best_total 4 elite score 4.846413315779456
