seed: 4 [([241.53424863175965], ['S']), ([0.029382253660055483, 0.06434438223986316, 0.09521895295863479], ['U', 'S', 'U'])] score 4.846
gen 43: sigma 0.0791 best score 4.8464 totals {np.int64(0): np.int64(61), np.int64(1): np.int64(30), np.int64(2): np.int64(37)} 10s
gen 44: sigma 0.0767 best score 4.8464 totals {np.int64(0): np.int64(57), np.int64(1): np.int64(42), np.int64(2): np.int64(29)} 10s
gen 45: sigma 0.0767 best score 4.8464 totals {np.int64(0): np.int64(50), np.int64(1): np.int64(31), np.int64(2): np.int64(47)} 11s
gen 46: sigma 0.0744 best score 4.8464 totals {np.int64(0): np.int64(41), np.int64(1): np.int64(39), np.int64(2): np.int64(48)} 11s
gen 47: sigma 0.0744 best score 4.8464 totals {np.int64(0): np.int64(45), np.int64(1): np.int64(42), np.int64(2): np.int64(41)} 10s
gen 48: sigma 0.0722 best score 4.8464 totals {np.int64(0): np.int64(52), np.int64(1): np.int64(31), np.int64(2): np.int64(45)} 11s
gen 49: sigma 0.0722 best score 4.8464 totals {np.int64(0): np.int64(38), np.int64(1): np.int64(43), np.int64(2): np.int64(47)} 11s
gen 50: sigma 0.07 best score 4.8464 totals {np.int64(0): np.int64(34), np.int64(1): np.int64(40), np.int64(2): np.int64(54)} 13s
gen 51: sigma 0.07 best score 4.8464 totals {np.int64(0): np.int64(34), np.int64(1): np.int64(47), np.int64(2): np.int64(47)} 13s
gen 52: sigma 0.0679 best score 4.8464 totals {np.int64(0): np.int64(50), np.int64(1): np.int64(31), np.int64(2): np.int64(47)} 11s
gen 53: sigma 0.0679 best score 4.8464 totals {np.int64(0): np.int64(38), np.int64(1): np.int64(35), np.int64(2): np.int64(55)} 11s
gen 54: sigma 0.0659 best score 4.8464 totals {np.int64(0): np.int64(42), np.int64(1): np.int64(31), np.int64(2): np.int64(55)} 12s
gen 55: sigma 0.0659 best score 4.8464 totals {np.int64(0): np.int64(40), np.int64(1): np.int64(27), np.int64(2): np.int64(61)} 12s
gen 56: sigma 0.0639 best score 4.8464 totals {np.int64(0): np.int64(39), np.int64(1): np.int64(33), np.int64(2): np.int64(56)} 11s
gen 57: sigma 0.0639 best score 4.8464 totals {np.int64(0): np.int64(39), np.int64(1): np.int64(35), np.int64(2): np.int64(54)} 12s
