2048 sets, 4s, hist {0: 1996, 1: 52}
4096 sets, 8s, hist {0: 3987, 1: 109}
6144 sets, 12s, hist {0: 5992, 1: 152}
8192 sets, 16s, hist {0: 7981, 1: 211}
10240 sets, 20s, hist {0: 9980, 1: 260}
12288 sets, 24s, hist {0: 11981, 1: 307}
14336 sets, 28s, hist {0: 13982, 1: 354}
16384 sets, 32s, hist {0: 15995, 1: 389}
18432 sets, 36s, hist {0: 17981, 1: 451}
20480 sets, 40s, hist {0: 19974, 1: 506}
22528 sets, 44s, hist {0: 21986, 1: 542}
24576 sets, 48s, hist {0: 23994, 1: 582}
26624 sets, 52s, hist {0: 25996, 1: 628}
28672 sets, 56s, hist {0: 28001, 1: 671}
30720 sets, 60s, hist {0: 29999, 1: 721}
32768 sets, 64s, hist {0: 31999, 1: 769}
34816 sets, 67s, hist {0: 33993, 1: 823}
36864 sets, 71s, hist {0: 35992, 1: 872}
38912 sets, 75s, hist {0: 37982, 1: 930}
40960 sets, 79s, hist {0: 39979, 1: 981}
43008 sets, 83s, hist {0: 41977, 1: 1031}
45056 sets, 87s, hist {0: 43974, 1: 1082}
47104 sets, 91s, hist {0: 45977, 1: 1127}
49152 sets, 95s, hist {0: 47986, 1: 1166}
51200 sets, 99s, hist {0: 49978, 1: 1222}
53248 sets, 103s, hist {0: 51956, 1: 1292}
55296 sets, 107s, hist {0: 53945, 1: 1351}
57344 sets, 111s, hist {0: 55942, 1: 1402}
59392 sets, 116s, hist {0: 57943, 1: 1449}
DONE 60160 116.98034501075745 {0: 58694, 1: 1466}
