a0=-1.0 b=0.5 e1=+0.01 delta=+1.0e-03 done 15s hist {1: 28, 3: 35}
a0=-1.0 b=0.5 e1=+0.01 delta=+1.0e-04 done 31s hist {1: 56, 3: 70}
a0=-0.5 b=1.0 e1=+0.01 delta=+1.0e-05 done 789s hist {0: 609, 1: 1470, 2: 924, 3: 210}
a0=-0.5 b=1.0 e1=+0.01 delta=-1.0e-03 done 806s hist {0: 609, 1: 1477, 2: 980, 3: 210}
a0=-0.5 b=1.0 e1=+0.01 delta=-1.0e-04 done 824s hist {0: 609, 1: 1484, 2: 1036, 3: 210}
a0=-0.5 b=1.0 e1=+0.01 delta=-1.0e-05 done 841s hist {0: 609, 1: 1491, 2: 1092, 3: 210}
a0=-0.5 b=1.0 e1=-0.01 delta=-1.0e-03 done 856s hist {0: 609, 1: 1547, 2: 1099, 3: 210}
a0=-0.5 b=1.0 e1=-0.01 delta=-1.0e-04 done 873s hist {0: 609, 1: 1603, 2: 1106, 3: 210}
a0=-0.5 b=1.0 e1=-0.01 delta=-1.0e-05 done 890s hist {0: 609, 1: 1659, 2: 1113, 3: 210}
a0=-0.5 b=1.0 e1=-0.01 delta=+1.0e-03 done 905s hist {0: 609, 1: 1659, 2: 1169, 3: 217}
a0=-0.5 b=1.0 e1=-0.01 delta=+1.0e-04 done 921s hist {0: 609, 1: 1659, 2: 1225, 3: 224}
a0=-0.5 b=1.0 e1=-0.01 delta=+1.0e-05 done 938s hist {0: 609, 1: 1659, 2: 1281, 3: 231}
a0=-0.5 b=1.5 e1=+0.01 delta=+1.0e-03 done 954s hist {0: 609, 1: 1715, 2: 1288, 3: 231}
a0=-0.5 b=1.5 e1=+0.01 delta=+1.0e-04 done 970s hist {0: 609, 1: 1771, 2: 1295, 3: 231}
a0=-0.5 b=1.5 e1=+0.01 delta=+1.0e-05 done 986s hist {0: 609, 1: 1827, 2: 1302, 3: 231}
a0=-0.5 b=1.5 e1=+0.01 delta=-1.0e-03 done 1002s hist {0: 609, 1: 1827, 2: 1358, 3: 238}
a0=-0.5 b=1.5 e1=+0.01 delta=-1.0e-04 done 1018s hist {0: 609, 1: 1827, 2: 1414, 3: 245}
a0=-0.5 b=1.5 e1=+0.01 delta=-1.0e-05 done 1034s hist {0: 609, 1: 1827, 2: 1470, 3: 252}
a0=-0.5 b=1.5 e1=-0.01 delta=-1.0e-03 done 1048s hist {0: 616, 1: 1883, 2: 1470, 3: 252}
a0=-0.5 b=1.5 e1=-0.01 delta=-1.0e-04 done 1063s hist {0: 623, 1: 1939, 2: 1470, 3: 252}
a0=-0.5 b=1.5 e1=-0.01 delta=-1.0e-05 done 1078s hist {0: 630, 1: 1995, 2: 1470, 3: 252}
a0=-0.5 b=1.5 e1=-0.01 delta=+1.0e-03 done 1091s hist {0: 630, 1: 2002, 2: 1526, 3: 252}
a0=-0.5 b=1.5 e1=-0.01 delta=+1.0e-04 done 1105s hist {0: 630, 1: 2009, 2: 1582, 3: 252}
a0=-0.5 b=1.5 e1=-0.01 delta=+1.0e-05 done 1120s hist {0: 630, 1: 2016, 2: 1638, 3: 252}
DONE {0: 630, 1: 2016, 2: 1638, 3: 252}
