2048 sets, 5s, hist {0: 4062, 1: 34}
4096 sets, 10s, hist {0: 8128, 1: 64}
6144 sets, 14s, hist {0: 12205, 1: 83}
8192 sets, 19s, hist {0: 16278, 1: 106}
10240 sets, 24s, hist {0: 20349, 1: 131}
12288 sets, 29s, hist {0: 24414, 1: 162}
14336 sets, 33s, hist {0: 28478, 1: 194}
16384 sets, 38s, hist {0: 32547, 1: 221}
18432 sets, 43s, hist {0: 36618, 1: 246}
20480 sets, 48s, hist {0: 40683, 1: 277}
22528 sets, 52s, hist {0: 44750, 1: 306}
24576 sets, 57s, hist {0: 48825, 1: 327}
26624 sets, 62s, hist {0: 52895, 1: 353}
28672 sets, 66s, hist {0: 56961, 1: 383}
30720 sets, 71s, hist {0: 61022, 1: 418}
32768 sets, 76s, hist {0: 65092, 1: 444}
34816 sets, 80s, hist {0: 69157, 1: 475}
36864 sets, 85s, hist {0: 73225, 1: 503}
38912 sets, 90s, hist {0: 77298, 1: 526}
40960 sets, 95s, hist {0: 81369, 1: 551}
43008 sets, 99s, hist {0: 85433, 1: 583}
45056 sets, 104s, hist {0: 89506, 1: 606}
47104 sets, 109s, hist {0: 93572, 1: 636}
49152 sets, 113s, hist {0: 97648, 1: 656}
51200 sets, 118s, hist {0: 101719, 1: 681}
53248 sets, 122s, hist {0: 105797, 1: 699}
55296 sets, 127s, hist {0: 109858, 1: 734}
57344 sets, 132s, hist {0: 113928, 1: 760}
59392 sets, 136s, hist {0: 117993, 1: 791}
DONE 60160 138.23834466934204 {0: 119517, 1: 803}
