=== row8  a=1.04 a20=-120 side=1
  n=10   x0=1.0686572357539        a11=1.9161489608532        Dxxx=1.459448078e-7         ds=0.150000   24s
  n=20   x0=1.1760385194477        a11=1.8986205607263        Dxxx=3.233367872e-6         ds=0.150000   45s
  n=30   x0=1.2495893947397        a11=1.8813754178695        Dxxx=8.594997326e-6         ds=0.150000   62s
  n=40   x0=1.3126141164658        a11=1.8644258548350        Dxxx=1.509462161e-5         ds=0.150000   81s
  n=50   x0=1.3700598476730        a11=1.8477672960368        Dxxx=2.212800888e-5         ds=0.150000   99s
  n=60   x0=1.4239864621434        a11=1.8313934264680        Dxxx=2.933109836e-5         ds=0.150000   117s
  n=70   x0=1.4754817984651        a11=1.8152975868838        Dxxx=3.647393232e-5         ds=0.150000   138s
  n=80   x0=1.5252009413988        a11=1.7994731138373        Dxxx=4.340897131e-5         ds=0.150000   158s
  n=90   x0=1.5735732138212        a11=1.7839134538531        Dxxx=5.004218518e-5         ds=0.150000   179s
  n=100  x0=1.6208972187122        a11=1.7686122076626        Dxxx=5.631548860e-5         ds=0.150000   199s
  n=110  x0=1.6673900238464        a11=1.7535631477355        Dxxx=6.219546518e-5         ds=0.150000   219s
  n=120  x0=1.7132149115768        a11=1.7387602241415        Dxxx=6.766584184e-5         ds=0.150000   241s
  -> npts=120 end=1.713214911576814796065531492191989 reason=MAXPTS Dxxx_sign_changes=0  (244s)
=== c_am2p5_o0p08  a=-2.5 a20=-5.344107142857142857142857142857143 side=1
  n=10   x0=1.0615365202525        a11=9.2465369408630        Dxxx=0.4359719056           ds=0.150000   24s
  n=20   x0=1.1588866654118        a11=10.246184590635        Dxxx=10.74382612            ds=0.150000   55s
  n=30   x0=1.2043448993344        a11=11.231301137122        Dxxx=50.15566699            ds=0.150000   89s
  n=40   x0=1.2326228744741        a11=12.204951620104        Dxxx=154.3348038            ds=0.150000   132s
  n=50   x0=1.2525457958188        a11=13.170878589458        Dxxx=382.7182264            ds=0.150000   185s
  n=60   x0=1.2676302693987        a11=14.131955579737        Dxxx=825.5725252            ds=0.150000   249s
  n=70   x0=1.2795876312144        a11=15.090154189874        Dxxx=1611.138942            ds=0.150000   308s
  n=80   x0=1.2893667892176        a11=16.046740553144        Dxxx=2912.871040            ds=0.150000   380s
  n=90   x0=1.2975472085232        a11=17.002490207933        Dxxx=4956.807447            ds=0.150000   458s
  n=100  x0=1.3045094724133        a11=17.957860243444        Dxxx=8029.083169            ds=0.150000   539s
  n=110  x0=1.3105175031487        a11=18.913110204271        Dxxx=12483.55945            ds=0.150000   616s
  n=120  x0=1.3157618711288        a11=19.868381023048        Dxxx=18749.55043            ds=0.150000   710s
  -> npts=120 end=1.315761871128800257506746302318643 reason=MAXPTS Dxxx_sign_changes=0  (719s)
=== c_am2p0_o0p08  a=-2.0 a20=-4.660740740740740740740740740740741 side=1
  n=10   x0=1.0788883814256        a11=8.2236428972729        Dxxx=0.09965249274          ds=0.150000   28s
