=== row7  a=0.72727272727272727272727272727273 a20=-12 side=1
  n=60   x0=1.4542492507384        a11=12.345342090342        Dxxx=55.46194604            ds=0.150000   180s
  n=70   x0=1.4739054076716        a11=13.364735608344        Dxxx=98.51417446            ds=0.150000   223s
  n=80   x0=1.4898793549851        a11=14.382859386897        Dxxx=162.3251489            ds=0.150000   270s
  n=90   x0=1.5031586782067        a11=15.400191457439        Dxxx=252.4142045            ds=0.150000   321s
  n=100  x0=1.5143964194865        a11=16.417045527570        Dxxx=374.7951413            ds=0.150000   378s
  n=110  x0=1.5240451800435        a11=17.433621450372        Dxxx=535.9296878            ds=0.150000   437s
  n=120  x0=1.5324303237934        a11=18.450043216830        Dxxx=742.6870916            ds=0.150000   499s
  -> npts=120 end=1.532430323793404273630286337364084 reason=MAXPTS Dxxx_sign_changes=0  (503s)
=== c_am1p0_o0p08  a=-1.0 a20=0.08 side=1
  n=10   x0=1.1654494563143        a11=6.1823891309040        Dxxx=5.320213717e-5         ds=0.150000   24s
  n=20   x0=1.3965663719772        a11=7.2290492077232        Dxxx=0.002308041881         ds=0.150000   47s
  n=30   x0=1.5047225462501        a11=8.2868823533577        Dxxx=0.007650110018         ds=0.150000   72s
  n=40   x0=1.5744809540831        a11=9.3463743383075        Dxxx=0.01570787086          ds=0.150000   101s
  n=50   x0=1.6244352789109        a11=10.406434711734        Dxxx=0.02613920424          ds=0.150000   134s
  n=60   x0=1.6623802015597        a11=11.466747775681        Dxxx=0.03862639077          ds=0.150000   167s
  n=70   x0=1.6923671161097        a11=12.527190688644        Dxxx=0.05287587553          ds=0.150000   205s
  n=80   x0=1.7167637334422        a11=13.587707056901        Dxxx=0.06862072772          ds=0.150000   245s
  n=90   x0=1.7370633585673        a11=14.648267964234        Dxxx=0.08562236208          ds=0.150000   287s
  n=100  x0=1.7542607250124        a11=15.708857335597        Dxxx=0.1036705859           ds=0.150000   331s
  n=110  x0=1.7690467194350        a11=16.769465662285        Dxxx=0.1225822371           ds=0.150000   378s
  n=120  x0=1.7819174637622        a11=17.830087036396        Dxxx=0.1421989847           ds=0.150000   427s
  -> npts=120 end=1.781917463762194077279562894757408 reason=MAXPTS Dxxx_sign_changes=0  (430s)
=== c_am0p8_om0p3  a=-0.8 a20=7.44320987654320987654320987654321 side=1
  n=10   x0=1.1910238777603        a11=5.7685023763846        Dxxx=-3.241475634e-5        ds=0.150000   26s
  n=20   x0=1.4742342530906        a11=6.8076449059476        Dxxx=-0.009746062021        ds=0.150000   47s
  n=30   x0=1.6064346119563        a11=7.8618850359718        Dxxx=-0.07250002500         ds=0.150000   70s
  n=40   x0=1.6918068715366        a11=8.9142051565751        Dxxx=-0.2532157319          ds=0.150000   97s
  n=50   x0=1.7531575852206        a11=9.9628703221053        Dxxx=-0.6253568636          ds=0.150000   125s
  n=60   x0=1.7999598251026        a11=11.007924793498        Dxxx=-1.263310260           ds=0.150000   157s
  n=70   x0=1.8371082858551        a11=12.049775914828        Dxxx=-2.238258364           ds=0.150000   191s
  n=80   x0=1.8674592035649        a11=13.088867366461        Dxxx=-3.616355968           ds=0.150000   227s
  n=90   x0=1.8928167879363        a11=14.125598425531        Dxxx=-5.458203993           ds=0.150000   264s
  n=100  x0=1.9143863293921        a11=15.160309807946        Dxxx=-7.818973612           ds=0.150000   302s
  n=110  x0=1.9330073499259        a11=16.193287589108        Dxxx=-10.74881339           ds=0.150000   342s
  n=120  x0=1.9492839614655        a11=17.224771077860        Dxxx=-14.29334789           ds=0.150000   383s
  -> npts=120 end=1.949283961465452222381879428770978 reason=MAXPTS Dxxx_sign_changes=0  (387s)
=== c_am0p8_o1p0  a=-0.8 a20=8.74320987654320987654320987654321 side=1
  n=10   x0=1.1910942931666        a11=5.7677467727377        Dxxx=1.863237617e-5         ds=0.150000   25s
  *** D_xxx SIGN CHANGE between x0=1.23964688715 and 1.27944415151 : 2.20145e-5 -> -9.85868e-6
  n=20   x0=1.4747330881046        a11=6.8055799063418        Dxxx=-0.005652270843        ds=0.150000   47s
  n=30   x0=1.6071409803375        a11=7.8611634049934        Dxxx=-0.05313575916         ds=0.150000   70s
  n=40   x0=1.6925549551880        a11=8.9155510924916        Dxxx=-0.2024090720          ds=0.150000   96s
  n=50   x0=1.7538748727067        a11=9.9663278867539        Dxxx=-0.5244580311          ds=0.150000   125s
  n=60   x0=1.8006205601689        a11=11.013322140203        Dxxx=-1.093223387           ds=0.150000   156s
  n=70   x0=1.8377063275671        a11=12.056887653664        Dxxx=-1.980754218           ds=0.150000   188s
  n=80   x0=1.8679958297919        a11=13.097470200450        Dxxx=-3.254765965           ds=0.150000   224s
  n=90   x0=1.8932957417242        a11=14.135488690126        Dxxx=-4.977689221           ds=0.150000   261s
  n=100  x0=1.9148119738801        a11=15.171307420425        Dxxx=-7.206539733           ds=0.150000   299s
  n=110  x0=1.9333840546976        a11=16.205235323347        Dxxx=-9.993192107           ds=0.150000   341s
  n=120  x0=1.9496159315321        a11=17.237532412973        Dxxx=-13.38482048           ds=0.150000   384s
  -> npts=120 end=1.949615931532073980134426186754970 reason=MAXPTS Dxxx_sign_changes=1  (387s)
=== c_am0p2_o0p08  a=-0.2 a20=7.25037037037037037037037037037037 side=1
  *** D_xxx SIGN CHANGE between x0=1.11134221095 and 1.14467591881 : 1.11629e-8 -> -3.73402e-8
  n=10   x0=1.1862485606776        a11=4.4510670069544        Dxxx=-3.587896390e-7        ds=0.150000   30s
  n=20   x0=1.5231213024670        a11=4.7571888136556        Dxxx=-0.0001589896195       ds=0.150000   47s
  n=30   x0=1.7313558793205        a11=5.0692259551878        Dxxx=-0.0009088921925       ds=0.150000   65s
  n=40   x0=1.8942569900912        a11=5.3814863352064        Dxxx=-0.002546983014        ds=0.150000   84s
  n=50   x0=2.0300213550549        a11=5.6922160776231        Dxxx=-0.005248807959        ds=0.150000   103s
  n=60   x0=2.1467387094800        a11=6.0003743537769        Dxxx=-0.009105391339        ds=0.150000   123s
  n=70   x0=2.2490119937377        a11=6.3052884271458        Dxxx=-0.01414606678         ds=0.150000   144s
  n=80   x0=2.3398278066317        a11=6.6065253856766        Dxxx=-0.02035604400         ds=0.150000   165s
  n=90   x0=2.4212853693083        a11=6.9038195478619        Dxxx=-0.02769033616         ds=0.150000   188s
  n=100  x0=2.4949399365801        a11=7.1970242819154        Dxxx=-0.03608458879         ds=0.150000   211s
  n=110  x0=2.5619868138354        a11=7.4860780535179        Dxxx=-0.04546324397         ds=0.150000   234s
  n=120  x0=2.6233696326428        a11=7.7709799292332        Dxxx=-0.05574549424         ds=0.150000   258s
  -> npts=120 end=2.623369632642846777257500043794494 reason=MAXPTS Dxxx_sign_changes=1  (261s)
=== c_a0p0_om0p3  a=0.0 a20=-0.3 side=1
  n=10   x0=1.2023716433622        a11=4.0336693817527        Dxxx=-1.198879184e-5        ds=0.150000   26s
  n=20   x0=1.6026690084212        a11=4.2361864725328        Dxxx=-0.0003009876103       ds=0.150000   45s
  n=30   x0=1.8620508752242        a11=4.4322343140794        Dxxx=-0.0006637598657       ds=0.150000   65s
  n=40   x0=2.0707395482924        a11=4.6195978586341        Dxxx=-0.0009822485494       ds=0.150000   86s
  n=50   x0=2.2488474278101        a11=4.7989931410621        Dxxx=-0.001239892084        ds=0.150000   106s
  n=60   x0=2.4054239937361        a11=4.9712487137529        Dxxx=-0.001442081120        ds=0.150000   128s
  n=70   x0=2.5456358709941        a11=5.1371087081302        Dxxx=-0.001598414406        ds=0.150000   150s
  n=80   x0=2.6728265103863        a11=5.2972141208285        Dxxx=-0.001718066758        ds=0.150000   172s
  n=90   x0=2.7893325427981        a11=5.4521132707706        Dxxx=-0.001808715192        ds=0.150000   195s
  n=100  x0=2.8968738172094        a11=5.6022763808412        Dxxx=-0.001876494105        ds=0.150000   218s
  n=110  x0=2.9967642601420        a11=5.7481089367864        Dxxx=-0.001926221970        ds=0.150000   241s
  n=120  x0=3.0900363201550        a11=5.8899628451701        Dxxx=-0.001961664514        ds=0.150000   265s
  -> npts=120 end=3.090036320154983183361187766209124 reason=MAXPTS Dxxx_sign_changes=0  (269s)
=== c_a0p0_o1p0  a=0.0 a20=1.0 side=1
  n=10   x0=1.1906243365839        a11=4.0296239876780        Dxxx=1.743943484e-5         ds=0.150000   23s
  n=20   x0=1.5567670124386        a11=4.2043406128919        Dxxx=0.0004721636182        ds=0.150000   42s
  n=30   x0=1.7963343466076        a11=4.3764828374011        Dxxx=0.001132713408         ds=0.150000   61s
  n=40   x0=1.9915870058594        a11=4.5437993465127        Dxxx=0.001795597500         ds=0.150000   80s
  n=50   x0=2.1602662004835        a11=4.7062900897181        Dxxx=0.002399319425         ds=0.150000   100s
  n=60   x0=2.3101623563929        a11=4.8641817132284        Dxxx=0.002927259477         ds=0.150000   120s
  n=70   x0=2.4456584960828        a11=5.0177453070078        Dxxx=0.003379445573         ds=0.150000   140s
  n=80   x0=2.5695735655839        a11=5.1672522034900        Dxxx=0.003762073186         ds=0.150000   161s
  n=90   x0=2.6838779547845        a11=5.3129600297209        Dxxx=0.004083226848         ds=0.150000   182s
  n=100  x0=2.7900283997787        a11=5.4551082942798        Dxxx=0.004351087947         ds=0.150000   204s
  n=110  x0=2.8891457876434        a11=5.5939175695486        Dxxx=0.004573214440         ds=0.150000   227s
  n=120  x0=2.9821185854455        a11=5.7295901376649        Dxxx=0.004756298481         ds=0.150000   249s
  -> npts=120 end=2.982118585445498330018719747551409 reason=MAXPTS Dxxx_sign_changes=0  (252s)
=== c_a0p2_o0p3  a=0.2 a20=-1.683673469387755102040816326530612 side=1
  n=10   x0=1.1967243999858        a11=3.6110470546826        Dxxx=1.307623799e-5         ds=0.150000   26s
  n=20   x0=1.6014150590909        a11=3.6755322977545        Dxxx=0.0003468509476        ds=0.150000   44s
  n=30   x0=1.8826855746919        a11=3.7371370547966        Dxxx=0.0008362271411        ds=0.150000   64s
  n=40   x0=2.1217632578820        a11=3.7954205045377        Dxxx=0.001337752920         ds=0.150000   85s
  n=50   x0=2.3358451667624        a11=3.8507370352169        Dxxx=0.001805581427         ds=0.150000   105s
  n=60   x0=2.5323624985145        a11=3.9034358951474        Dxxx=0.002225487401         ds=0.150000   126s
  n=70   x0=2.7154333256924        a11=3.9538159251654        Dxxx=0.002595530242         ds=0.150000   147s
  n=80   x0=2.8876694940719        a11=4.0021278529091        Dxxx=0.002918617920         ds=0.150000   169s
  n=90   x0=3.0508743340557        a11=4.0485823899941        Dxxx=0.003199368226         ds=0.150000   191s
  n=100  x0=3.2063673763545        a11=4.0933578705392        Dxxx=0.003442745349         ds=0.150000   213s
  n=110  x0=3.3551555857958        a11=4.1366064853298        Dxxx=0.003653480572         ds=0.150000   236s
  n=120  x0=3.4980321723534        a11=4.1784591935787        Dxxx=0.003835850660         ds=0.150000   258s
  -> npts=120 end=3.498032172353370541562144429034190 reason=MAXPTS Dxxx_sign_changes=0  (261s)
=== c_a0p4_om0p08  a=0.4 a20=-3.029794238683127572016460905349794 side=1
  n=10   x0=1.2030649456712        a11=3.1949273103474        Dxxx=-6.008320632e-6        ds=0.150000   28s
  n=20   x0=1.6531870651807        a11=3.1655054798668        Dxxx=-0.0001673195685       ds=0.150000   48s
  n=30   x0=1.9877456679290        a11=3.1381134352309        Dxxx=-0.0003963288482       ds=0.150000   70s
  n=40   x0=2.2856833120007        a11=3.1128095824663        Dxxx=-0.0006075290126       ds=0.150000   91s
  n=50   x0=2.5631301225904        a11=3.0893025788763        Dxxx=-0.0007787644774       ds=0.150000   111s
  n=60   x0=2.8268376038970        a11=3.0673384716942        Dxxx=-0.0009092836905       ds=0.150000   133s
